gene	A	B	C	D	E
Skcos10518	8	1	1	14	0
Skcos10519	5	0	2	9	10
Skcos1052	0	0	1	1	0
Skcos10520	77	48	116	369	97
Skcos10521	8	0	1	4	5
Skcos10522	67	48	58	145	59
Skcos10523	1	0	0	0	0
Skcos10524	103	27	33	119	24
Skcos10525	36	5	7	33	7
Skcos10526	34	9	12	25	11
Skcos10527	6	0	0	6	1
Skcos10528	1	0	0	1	0
Skcos10529	136	26	27	213	35
Skcos1053	2	1	2	9	2
Skcos10530	6	1	0	18	3
Skcos10531	79	29	50	61	78
Skcos10532	3	0	4	1	3
Skcos10533	2	2	1	2	0
Skcos10534	1	0	0	1	0
Skcos10535	14	5	5	27	4
Skcos10536	1	0	0	7	2
Skcos10537	6	3	1	12	1
Skcos10538	1	4	0	5	2
Skcos10539	0	0	1	3	0
Skcos1054	3	0	0	6	2
Skcos10540	3	1	1	3	0
Skcos10541	0	0	0	0	0
Skcos10542	7	3	1	8	5
Skcos10543	5	1	0	0	0
Skcos10544	1	0	0	3	0
Skcos10545	26	7	12	33	17
Skcos10546	8	5	5	37	5
Skcos10547	20	6	4	14	9
Skcos10548	16	7	10	28	10
Skcos10549	14	1	4	20	1
Skcos1055	0	0	0	1	0
Skcos10550	7	1	3	8	4
Skcos10551	4	1	1	2	3
Skcos10552	11	5	4	16	5
Skcos10553	13	2	5	15	7
Skcos10554	0	0	0	5	0
Skcos10555	1	0	1	3	2
Skcos10556	387	262	366	444	478
Skcos10557	0	0	0	1	0
Skcos10558	1	1	0	2	2
Skcos10559	1	0	0	2	0
Skcos1056	46	15	31	84	20
Skcos10560	14	7	2	19	3
Skcos10561	2	1	0	8	4
Skcos10562	2	0	0	1	0
Skcos10563	13	3	2	15	3
Skcos10564	10	3	4	16	4
Skcos10565	113	13	25	146	18
Skcos10566	1	1	0	2	3
Skcos10567	14	2	2	31	9
Skcos10568	1	0	0	2	0
Skcos10569	39	0	2	31	6
Skcos1057	0	0	0	1	0
Skcos10570	105	45	67	92	53
Skcos10571	11	5	1	9	4
Skcos10572	7	1	1	29	1
Skcos10573	1	0	0	0	0
Skcos10574	8	0	1	8	7
Skcos10575	1	0	2	0	0
Skcos10576	181	136	165	439	140
Skcos10577	16	1	0	18	4
Skcos10578	11	12	10	8	13
Skcos10579	3	1	0	5	3
Skcos1058	171	48	55	239	88
Skcos10580	21	4	9	17	9
Skcos10581	12	2	8	34	5
Skcos10582	15	0	3	19	5
Skcos10583	0	0	0	1	0
Skcos10584	14	1	3	11	1
Skcos10585	695	403	498	673	643
Skcos10586	53	10	9	77	16
Skcos10587	154	79	69	159	121
Skcos10588	23	5	21	77	17
Skcos10589	26	9	8	48	22
Skcos1059	13	0	2	11	3
Skcos10590	0	0	0	1	0
Skcos10591	60	18	32	99	37
Skcos10592	18	5	6	24	5
Skcos10593	13	7	5	35	5
