gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos10296	61	192	16	3	2	9	1	0	6	0
Skcos10297	51	202	4	7	3	5	1	2	2	0
Skcos10298	555	1581	66	17	20	20	11	12	51	12
Skcos10299	7	58	0	0	0	1	0	0	4	2
Skcos103	154	1772	26	16	11	16	10	7	9	4
Skcos1030	12	694	3	8	1	5	0	0	5	0
Skcos10300	93	121	50	7	0	8	10	7	23	19
Skcos10301	377	118	148	9	11	43	18	21	18	35
Skcos10302	1237	231	510	6	17	139	80	113	186	139
Skcos10303	710	7826	223	164	65	103	57	64	259	49
Skcos10304	3349	935	1345	20	94	300	168	204	230	274
Skcos10305	50	1311	21	5	26	9	3	1	3	2
Skcos10306	264	753	30	28	3	19	3	1	17	4
Skcos10307	27	717	10	4	2	1	0	0	1	2
Skcos10308	135	924	52	18	12	67	13	27	67	34
Skcos10309	534	2023	158	57	73	21	9	18	119	18
Skcos1031	116	1238	39	5	9	35	4	7	11	1
Skcos10310	15	680	6	11	0	7	2	0	9	1
Skcos10311	0	98	0	0	0	3	0	0	1	0
Skcos10312	9	108	1	0	0	3	0	0	1	0
Skcos10313	8	375	5	0	4	20	2	2	11	3
Skcos10314	626	10052	335	162	184	237	110	119	372	123
Skcos10315	1720	1761	366	312	58	69	16	23	64	27
Skcos10316	17	473	10	8	2	3	1	4	16	1
Skcos10317	10	44	3	0	4	3	2	2	2	0
Skcos10318	56	2987	21	22	17	30	11	17	77	16
Skcos10319	0	0	0	0	0	0	0	0	0	0
Skcos1032	349	354	69	0	5	10	9	15	8	20
Skcos10320	0	0	0	0	0	0	0	0	0	0
Skcos10321	0	0	0	0	0	0	0	0	0	0
Skcos10322	0	16	0	0	0	0	0	0	0	0
Skcos10323	0	14	0	0	0	0	1	0	0	0
Skcos10324	23	10	0	0	0	0	0	0	0	0
Skcos10325	0	0	0	0	0	0	0	0	0	0
Skcos10326	3	1	1	0	0	0	0	0	0	0
Skcos10327	0	0	0	0	0	0	0	0	0	0
Skcos10328	0	55	1	0	0	1	0	0	0	0
Skcos10329	0	0	0	0	0	0	0	0	0	0
Skcos1033	11740	3121	1693	47	108	420	205	218	347	309
Skcos10330	40	112	0	0	0	4	1	0	1	0
Skcos10331	2944	2162	1064	177	89	378	96	73	894	100
Skcos10332	102	779	9	7	2	1	3	2	9	1
